"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"inera-ehds-lm-laboratory-order-outcome","inera-ehds-lm-laboratory-order-outcome","","","",0,*,"","","","null {[]} {[]}
","GetLaboratoryOrderOutcome","Logisk modell för tjänstekontraktet GetLaboratoryOrderOutcome
(RIV-TA urn:riv:clinicalprocess:healthcond:actoutcome:GetLaboratoryOrderOutcome:4).
Representerar responsens informationsstruktur — multidisciplinära laboratoriesvar
för en patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome","","","",0,*,"","","","BackboneElement {[]} {[]}
","Laboratoriesvar (ett per beställning)","En labbeställning med tillhörande svar. Kardinalitet: Valfri, lista.","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.id","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.extension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.modifierExtension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header","","","",1,1,"","","","BackboneElement {[]} {[]}
","Header med åtkomstkontroll och metadata","Header med åtkomstkontroll och metadata","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.id","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.extension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.modifierExtension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader","","","",1,1,"","","","BackboneElement {[]} {[]}
","Åtkomstkontrollhuvud (PDL)","Åtkomstkontrollhuvud (PDL)","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.id","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.extension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.modifierExtension","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareGiver","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareGiver","","","",1,1,"","","","Identifier {[]} {[]}
","Ansvarig vårdgivare (HSA-id)","HSA-id för den vårdgivare som är ansvarig för posten. Obligatorisk.","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareGiver",1,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareUnit","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareUnit","","","",1,1,"","","","Identifier {[]} {[]}
","Ansvarig vårdenhet (HSA-id)","HSA-id för den vårdenhet som är ansvarig för posten. Obligatorisk.","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.accountableCareUnit",1,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.patientId","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.patientId","","","",0,1,"","","","Identifier {[]} {[]}
","Patientens id i svaret","Patientens id i svaret","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.patientId",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.originalPatientId","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.originalPatientId","","","",0,1,"","","","Identifier {[]} {[]}
","Ursprungligt patient-id","Ursprungligt patient-id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.originalPatientId",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.careProcessId","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.careProcessId","","","",0,1,"","","","Identifier {[]} {[]}
","Vårdprocessid (UUID)","Vårdprocessid (UUID)","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.careProcessId",0,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.blockComparisonTime","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.blockComparisonTime","","","",1,1,"","","","instant {[]} {[]}
","Tidpunkt för spärrkontroll","Tidpunkt för spärrkontroll","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.blockComparisonTime",1,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.approvedForPatient","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.approvedForPatient","","","",1,1,"","","","boolean {[]} {[]}
","Godkänd för patientvisning","Anger om informationsägaren godkänt att patienten kan ta del av informationen.","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.accessControlHeader.approvedForPatient",1,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.sourceSystemId","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.sourceSystemId","","","",1,1,"","","","Identifier {[]} {[]}
","Källsystemets HSA-id","Källsystemets HSA-id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.sourceSystemId",1,1,"",""
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.record","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.record","","","",1,1,"","","","BackboneElement {[]} {[]}
","Poststatus och tidpunkt","Poststatus och tidpunkt","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.record",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.record.id","inera-ehds-lm-laboratory-order-outcome.laboratoryOrderOutcome.header.record.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
