"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"inera-ehds-lm-observations","inera-ehds-lm-observations","","","",0,*,"","","","null {[]} {[]}
","GetObservations","Logisk modell för tjänstekontraktet GetObservations
(RIV-TA urn:riv:clinicalprocess:healthcond:basic:GetObservationsInteraction:2).
Representerar responsens informationsstruktur — en samling observationer som
matchar sökkriterier i begäran, inklusive header-information.
Meddelandemodellen från avsnitt 5.1 V-MIM — Observationer i TKB motsvarar
en observation i svarsmeddelandet.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"inera-ehds-lm-observations.observations","inera-ehds-lm-observations.observations","","","",0,*,"","","","BackboneElement {[]} {[]}
","De observationer som matchar sökkriterierna, inklusive header.","Kardinalitet: Valfri, lista (0..*) — tomt svar returneras om inga observationer matchar.","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-observations.observations.id","inera-ehds-lm-observations.observations.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-observations.observations.extension","inera-ehds-lm-observations.observations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-observations.observations.modifierExtension","inera-ehds-lm-observations.observations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-observations.observations.header","inera-ehds-lm-observations.observations.header","","","",1,1,"","","","BackboneElement {[]} {[]}
","Header enligt RIV-TA standard.","Se separat dokument med fältregler för header [R10].
Kardinalitet: Obligatorisk (1..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.header",1,1,"",""
"inera-ehds-lm-observations.observations.observationBody","inera-ehds-lm-observations.observations.observationBody","","","",1,1,"","","","BackboneElement {[]} {[]}
","Information om en observation (ObservationType).","Motsvarar klasserna Observation och Uppgift i patientjournal i NI 2017.
Kardinalitet: Obligatorisk (1..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.observationBody",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-observations.observations.observationBody.id","inera-ehds-lm-observations.observations.observationBody.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-observations.observations.observationBody.extension","inera-ehds-lm-observations.observations.observationBody.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-observations.observations.observationBody.modifierExtension","inera-ehds-lm-observations.observations.observationBody.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-observations.observations.observationBody.observationId","inera-ehds-lm-observations.observations.observationBody.observationId","","","",1,1,"","","","Identifier {[]} {[]}
","Identitet för observationen, unik inom vårdgivaren.","- root: Den informationsägande vårdgivarens HSA-id
- extension: Den inom vårdgivaren unika id-beteckningen för observationen
Kardinalitet: Obligatorisk (1..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.observationBody.observationId",1,1,"",""
"inera-ehds-lm-observations.observations.observationBody.registrationTime","inera-ehds-lm-observations.observations.observationBody.registrationTime","","","",1,1,"","","","instant {[]} {[]}
","Dokumentationstidpunkt — när uppgiften registrerades i journalen.","Kan skilja sig från signeringstidpunkt (som återfinns i header).
Kardinalitet: Obligatorisk (1..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.observationBody.registrationTime",1,1,"",""
"inera-ehds-lm-observations.observations.observationBody.observationType","inera-ehds-lm-observations.observations.observationBody.observationType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","NI 2017 (Observation.typ) — typ av observation.","Kod för den typ av observation, används då typen inte framgår av attributet värde.
Exempel: ""längd mätt utan skor"" eller ""huvuddiagnos"".
CVType-regler (TKB): displayName är 1..1 (obligatorisk om fältet anges).
codeSystemVersion är 0..1.
Kardinalitet: Valfri (0..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.observationBody.observationType",0,1,"",""
"inera-ehds-lm-observations.observations.observationBody.observationValue","inera-ehds-lm-observations.observations.observationBody.observationValue","","","",1,1,"","","","BackboneElement {[]} {[]}
","NI 2017 (Observation.värde) — det faktiska observerade hälsotillståndet.","Representeras av ValueANYType — en av: cv (CVType/kodat värde), pq (mätvärde),
ivl_pq (intervall), ts (tidpunkt), ivl_ts (tidsintervall), st (fritext), int (heltal).
Kardinalitet: Obligatorisk (1..1).","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-observations.observations.observationBody.observationValue",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-observations.observations.observationBody.observationValue.id","inera-ehds-lm-observations.observations.observationBody.observationValue.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
