Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehds.tk.json	47931	-	0	0	0	0	0	0	18	66	0	0	0	0	1	0	0	1	0	0	169	254	0	0	0	12	0	1
fsh-generated/resources/CodeSystem-assessmentcategory-cs.json	750	2	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	61	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-clinicaldocumentnotecode-cs.json	1252	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	9	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-deliverycode-cs.json	906	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	6	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-diagnosistype-cs.json	625	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-errorcode-cs.json	548	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-examinationstatuscode-cs.json	1705	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	8	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fetalpositioncode-cs.json	859	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	6	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-maternity-section.json	1073	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nonreplaceable-cs.json	723	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prescriptionstatus-cs.json	751	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	5	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-referraloutcometypecode-cs.json	682	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-resultcode-cs.json	759	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-sexcode-cs.json	808	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	6	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-typeofcareplan-cs.json	1253	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-typeofleavecode-cs.json	750	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-typeofprescription-cs.json	739	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-typeofresultcode-cs.json	744	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	22	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-observation-status-map.json	2316	2	0	0	0	0	0	0	0	427	0	0	0	0	1	0	0	0	0	0	8	19	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-ascertained-date.json	1454	1	0	15	0	0	0	1	0	391	0	0	1	0	0	0	0	0	0	0	29	541	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-alert-asserted-date.json	1476	1	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	34	125	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-asserter.json	1595	1	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	26	114	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-degree-of-certainty.json	1516	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-degree-of-severity.json	1568	1	0	8	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	0	25	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-information-comment.json	1832	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-pharmaceutical-hypersensitivity.json	3509	1	0	18	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	64	145	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-alert-pharmaceutical-treatment.json	1625	1	0	9	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	26	77	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-alert-restriction-of-care-comment.json	1610	1	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	76	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-route-of-transmission.json	1434	1	0	5	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	25	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-treatment-description.json	1534	2	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-verified-time.json	1428	1	0	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-approved-for-patient.json	1385	2	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	24	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-device-source-system-contact.json	2726	2	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	61	93	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-immunization-is-dose-complete.json	1438	1	0	9	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	31	70	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-immunization-legal-authenticator.json	2956	2	0	15	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	60	101	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-immunization-patient-postal-code.json	1463	2	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	72	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-immunization-registration-device.json	1822	1	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-inera-ehds-allergy-intolerance.json	6226	2	0	38	0	0	0	0	0	69	0	0	0	0	0	0	0	1	0	0	174	410	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-audit-event.json	3624	1	0	32	1	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	162	363	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-care-plan.json	3993	2	0	37	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	159	312	0	0	0	11	0	1
